"Id","providerId","providerName","nameZh","nameEn","pathAttributeId","pathAttributeName","pathAttributeEname","buildPeriod","departureZh","departureEn","destinationZh","destinationEn","realSequence","distance","goFirstBusTime","backFirstBusTime","goLastBusTime","backLastBusTime","peakHeadway","holidayHeadwayDesc","offPeakHeadway","busTimeDesc","holidayGoFirstBusTime","holidayBackFirstBusTime","holidayGoLastBusTime","holidayBackLastBusTime","holidayBusTimeDesc","headwayDesc","holidayPeakHeadway","holidayOffPeakHeadway","segmentBufferZh","segmentBufferEn","ticketPriceDescriptionZh","ticketPriceDescriptionEn"
"17534","16185","指南客運","933","933","158702","933去(新北市)","933go","10","三重","Sanchong","動物園","Zoo","99","99","0530","0530","2230","2230","1012","","1520","","0530","","2230","","","","2030","2030","往程「民生溪頭路口-板橋花市」、返程「板橋花市-長江路口」","MRT Xinpu Station-Banqiao Flower Market","二段票","Charge for 2 sections"
"17541","16179","三重客運","986","986","158709","986(新北市)","986","10","蘆洲總站","Luzhou Sta.","桃園機場","Taoyuan Airport","99","99","0600","0600","2200","2200","","","","","0600","0600","2200","2200","","","","","高工局，林口長庚醫院~捷運林口站(八德路)，台茂購物中心","","四段票","Charge for 4 sections"
"17567","16249","雙溪區公所","F813","F813","158737","F813(新北市)","F813","10","雙溪","Shuangxi Rail Sta.","瑞芳","RueiFang Station","99","99","0631","0631","1630","1630","","06:31班次由澳底保健站發車","","","0631","0631","1630","1630","","06:31班次由澳底保健站發車","","","","","",""
"17575","16190","基隆客運","953去","953","158745","953去(新北市)","953","10","金山","Jinshan","板橋","Banqiao","99","99","0600","0600","2100","2100","","","","","0600","0600","2100","2100","","","","","野柳、基隆市界、富景天下社區、國道1號、基隆高架道路","Yeliu,Keelung City Line,Fujing Tainxia Community,_x000D__x000D_","六段票","6 segments"
"17621","16186","淡水客運","853跳蛙","Jumping Frog Bus","158793","853跳蛙(新北市)","Jumping Frog Bus","10","三芝","Sanchih","捷運紅樹林站","MRT mangrove station","99","99","0600","0600","0630","0630","","","","","","","","","例假日停駛","","","","聖約翰科技大學","","二段票","2 segments"
"17625","16179","三重客運","898","898","158801","898(新北市)","898","10","迴龍","Huilong Station","長庚醫院","Chang Gung Memorial Hospital","99","99","0500","0500","2100","2100","","","","","0500","","2100","","","","","","泰山區公所-黎明技術學院","Taishan Dist. Office-Leeming Institute Of Technology","二段票","2 segments"
"16405","16176","臺北客運","橘5","O5","157401","橘5(新北市)","O5","10","新月橋","County Hospital","捷運景安站","The MRT King safety station","99","99","0540","0540","2310","2310","0812","","1530","","0600","0600","2310","2310","","","1530","1530","","","一段票","1 segments"
"16427","16183","大南汽車","839","839","157423","839(新北市)","839","10","新店達觀","The philosophical community","捷運新店站","Xindian Station","99","99","0550","0550","2300","2300","","","","","0600","0600","2300","2300","","","","","","","一段票","1 segments"
"17662","16232","新莊區公所","F203","F203","158962","F203(新北市)返","F203","10","雙鳳路福德宮站","Shuangfeng Lu Fude Palace Station","台北醫院","Taipei hospital","99","99","0800","0800","0800","0800","","","","","","","","","例假日停駛","台北醫院站11:30發車","","","","","",""
"17662","16232","新莊區公所","F203","F203","158838","F203(新北市)去","F203","10","雙鳳路福德宮站","Shuangfeng Lu Fude Palace Station","台北醫院","Taipei hospital","99","99","0800","0800","0800","0800","","","","","","","","","例假日停駛","台北醫院站11:30發車","","","","","",""
"17665","16232","新莊區公所","F207","F207","158965","F207(新北市)返","F207","10","福營行政大樓站","Fu camp administration building station","林口長庚醫院","Linkou Chang Gung Memorial Hospital","99","99","0650","1000","1300","1630","","","","","","","","","例假日停駛","","","","","","",""
"17665","16232","新莊區公所","F207","F207","158841","F207(新北市)去","F207","10","福營行政大樓站","Fu camp administration building station","林口長庚醫院","Linkou Chang Gung Memorial Hospital","99","99","0650","1000","1300","1630","","","","","","","","","例假日停駛","","","","","","",""
"16517","16179","三重客運","704","704","157552","704(新北市)","704","10","八里","Bali","北門","Beimen","99","99","0510","0510","2145","2145","1218","","1825","","0510","0510","2145","2145","","","1825","1825","1. 艋舺橋-蘆洲總站 2. 捷運徐匯中學站-涼州重慶路口(往程) 3. 捷運大橋頭站-捷運徐匯中學站(返程)","1.Mengjia Bridge-Luzhou Bus Terminal 2.MRT St. Ignatius High School Station-Liangzhou & Chongqing Intersection 3.MRT Daqiaotou Station-MRT St. Ignatius High School Station","三段票","3 segments"
"16544","16187","光華巴士","藍39","BL39","157579","藍39(新北市)","BL39","10","汐止社后","Community after","南港車站","Nangang Station","99","99","0600","0600","2330","2330","","","","","0600","0600","2330","2330","","","","","","","一段票","1 segments"
"16536","16186","淡水客運","875","875","157571","875(新北市)","875","10","捷運淡水站","MRT Station","北新莊","North New Zhuang","99","99","0510","0510","2100","2100","","","","","0510","0510","2100","2100","","","","","","","一段票","1 segments"
"10163","16176","臺北客運","656","656","158438","656(新北市)","656","10","德霖技術學院","De Lin Institute of Technology","捷運臺大醫院站","MRT NTU Hospital Station","99","31","0530","0530","2240","2240","0710","","1015","","0530","0530","2240","2240","","22:00後12-15分乙班次","1015","1015","","Haishan Vocational High School-MRT Longshan Temple Station","一段票","1 segments"
"16695","16189","中興巴士","821","821","157780","821(新北市)","821","10","三芝","Sanzhi","天文科學館","Taipei Astronomical Museum","99","99","0530","0530","1710","1710","","","","","0530","0530","1710","1710","","","","","灰瑤子-興化店，福德宮-捷運淡水站，捷運竹圍站-關渡國小(臺北城市科技大學)","Huiyaozi-Xinghuadian , Fude Temple-MRT Tamsui Station, Guandu Elementary School","四段票","4 segments"
"16697","16185","指南客運","847區","847Shuttle","157783","847區(新北市)","847Shuttle","10","樹林","Forest","捷運亞東醫院站","MRT Far Eastern Hospital Station","99","99","0550","0550","2200","2200","0608","","1015","","0550","0550","2200","2200","","","1530","1530","","","一段票","1 segments"
"16710","16186","淡水客運","867區","867sub","157802","867區(新北市)","867sub","10","捷運淡水站","MRT Tamsui Station","石門","Shimen","99","99","2230","2230","2230","2230","","","","","2230","2230","2230","2230","","","","","興化店-灰瑤子，三芝","Xinghuadian-Huiyaozi ,Sanzhi","三段票","3 segments"
"10196","16176","臺北客運","706","706","158514","706(新北市)","706","10","三峽","Sanxia","西門","Ximen","150","57","0500","0500","2200","2200","0710","","1015","","0500","0500","2200","2200","","","1015","1520","媽祖田-捷運永寧站 自強游泳池-自強市場","Mazutian-MRT YongNing Station , Pumping Station-ZiQiang Market","三段票","3 segments"
"16717","16181","欣欣客運","895","895","157814","895(新北市)","895","10","南勢角","Nanshijiao","捷運公館站","MRT Gongguan Sta.","99","99","0600","0600","2200","2200","","","","","0600","0600","2200","2200","","","","","","","一段票","1 segments"
"16719","16176","臺北客運","795往木柵","795Muzha","157817","795往木柵(新北市)","795Muzha","10","野人谷、十分寮、平溪","Yerengu","木柵","Muzha","99","99","0540","0540","2330","2330","","","","","0600","0600","2330","2330","","詳細發車時間請參閱路線簡圖","","","雙溪口，五坑","Shuangxiko-Wukeng","三段票",""
"16406","16176","臺北客運","8","8","157402","8(新北市)","8","10","捷運新店站","MRT Xindian Station","捷運景安站","MRT King safety station","99","99","0600","0600","2210","2210","","","","","0700","0700","2100","2100","","","","","","","一段票","1 segments"
"16643","16224","國光客運","782","782","158917","782返(新北市)","782","10","雙溪火車站","Sungai","柑腳","Kom feet","99","99","1840","1900","1840","1900","","","","","1840","1900","1840","1900","","","","","","","一段票","1 segments"
"16643","16224","國光客運","782","782","157703","782去(新北市)","782","10","雙溪火車站","Sungai","柑腳","Kom feet","99","99","1840","1900","1840","1900","","","","","1840","1900","1840","1900","","","","","","","一段票","1 segments"
"16641","16190","基隆客運","788去水湳洞","788-Go-Shuinan Don","157701","788去水湳洞(新北市)","788-Go-Shuinan Don","10","基隆","Keelung","水湳洞","Shueinandong","99","99","0700","0700","1445","1445","","","","","","","","","假日不行駛水湳洞","","","","三坑口-新北市界","New Tiapei City Line","二段票","Charge for 2 sections"
"16422","16178","新店客運","923","923","158940","923(新北市)返","923","10","坪林","Pinglin","捷運新店站","Xindian Station","99","99","0630","0620","2110","2030","","","","","0730","0730","2030","2030","","","","","阿柔洋","Arouyang","二段票","Charge for 2 sections"
"16422","16178","新店客運","923","923","157418","923(新北市)去","923","10","坪林","Pinglin","捷運新店站","Xindian Station","99","99","0630","0620","2110","2030","","","","","0730","0730","2030","2030","","","","","阿柔洋","Arouyang","二段票","Charge for 2 sections"
"16423","16178","新店客運","930","930","157419","930(新北市)","930","10","青潭","Store","板橋區公所","Itabashi","99","99","0530","0530","2230","2230","0708","","1015","","0530","0530","2230","2230","","","1520","1520","","","一段票","1 segments"
"16431","16186","淡水客運","紅37","R37","157427","紅37(新北市)","R37","10","淡海新市鎮","Tamsui New Town","捷運淡水站","MRT Tamsui Station","99","99","0540","0540","0000","0000","0610","","1215","","0540","0540","0000","0000","","2230後30分乙車次","1030","1030","","","一段票","1 segments"
"17007","16254","汐止區公所","F911","F911","159021","F911返(新北市)","F911","10","汐止火車站","Xizhi Rail Sta.","天秀宮","Tianxiu Temple","99","99","0550","0605","1900","1915","","","","","1100","1115","1800","1815","","","","","","","",""
"17007","16254","汐止區公所","F911","F911","158134","F911去(新北市)","F911go","10","汐止火車站","Xizhi Rail Sta.","天秀宮","Tianxiu Temple","99","99","0550","0605","1900","1915","","","","","1100","1115","1800","1815","","","","","","","",""
"17010","16254","汐止區公所","F912B","F912B","158137","F912B(新北市)","F912B","10","汐止公園","Xizhi Park","汐止火車站","Xizhi Rail Sta.","99","99","0650","0650","1900","1900","","","","","0650","0650","1900","1900","","","","","","","",""
"17016","16254","汐止區公所","F917","F917","158143","F917(新北市)","F917","10","歡天館","Huantianguan","伯爵街59巷口","Lane 59 Bojue St. Intersection","99","99","0605","0605","2000","2000","","","","","0605","0605","2000","2000","","","","","","","",""
"16461","16176","臺北客運","275副","275Sub","157481","275副(新北市)","275Sub","10","三峽","Sanxia","松山機場","Taipei Songshan Airport","99","99","0530","0530","1930","1930","","","","","0540","0540","1930","1930","","","","","1. 媽祖田-捷運永寧站 2. 公館-成功國宅","Mazutian-MRT YongNing Station , Gongguan-Chenggong Public Housing","三段票","3 segments"
"17824","16190","基隆客運","886區","886Shuttle","159184","886區瑞芳(新北市)"," ","10","瑞芳"," ","水湳洞"," ","99","99","0825","0850","1730","1755","","","","","0825","0850","0825","0850","","","","","","","一段票",""
"17824","16190","基隆客運","886區","886Shuttle","159186","886區繞瑞芳(新北市)"," ","10","瑞芳"," ","水湳洞"," ","99","99","0825","0850","1730","1755","","","","","0825","0850","0825","0850","","","","","","","一段票",""
"17824","16190","基隆客運","886區","886Shuttle","159185","886區水湳洞(新北市)"," ","10","瑞芳"," ","水湳洞"," ","99","99","0825","0850","1730","1755","","","","","0825","0850","0825","0850","","","","","","","一段票",""
"17293","16179","三重客運","946","946","158422","946(新北市)","946","10","林口","Linkou Sta.","內湖科技園區","NeihuScience Park","99","99","0540","0540","2200","2200","","","","","0600","0600","2200","2200","","","","","高公局","Taiwan Area National Freeway Bureau","二段票","Charge for 2 sections"
"16571","16185","指南客運","797","797","157613","797(新北市)","797","10","五股","Wugu","市政府","Taipei City Hall","99","99","0600","0600","1700","1700","","","","","","","","","例假日停駛","","","","捷運丹鳳站-五谷王廟、 西門國小-捷運中山站","MRT Danfeng Station-Wuguwang Temple, Ximen Elementary School-MRT Zhongshan Sta.","三段票","3 segments"
"16573","16185","指南客運","800","800","157615","800(新北市)","800","10","樹林","Shulin","捷運輔大站","MRT Fu Jen Catholic University Station","99","99","0600","0600","2230","2230","","","","","0600","0600","2230","2230","","","","","","","一段票","Charge for 1 sections"
"16574","16185","指南客運","892","892","159121","892臺北(新北市)","892","10","臺北","Taipei","石門","Shimen","99","99","1500","1500","1500","1500","","","","","","","","","例假日停駛","","","","葫東重慶路口、大度立德路口-捷運竹圍站、捷運淡水站-北淡水、興化店-灰瑤子、三芝","Hudong & Chongqing Intersection, Lide Intersection -MRT Zhuwei Station, MRT Tamsui Station-Tamsui Xincheng, Xinghuadian-Huiyaozi,Sanzhi","六段票","6 segments"
